"ID","Latitude","Longitude","Year.Month.Day","Adults"
195,50.0900963344,-70.0070445937,"2013/08/14",0.0103359173126615
195,50.0900963344,-70.0070445937,"2013/08/15",0.00775193798449612
195,50.0900963344,-70.0070445937,"2013/08/16",0.00775193798449612
195,50.0900963344,-70.0070445937,"2013/08/17",0.00516795865633075
196,50.0918731243,-69.8665235749,"2013/07/15",0.00154559505409583
196,50.0918731243,-69.8665235749,"2013/07/16",0.00309119010819165
196,50.0918731243,-69.8665235749,"2013/07/17",0.00463678516228748
196,50.0918731243,-69.8665235749,"2013/07/18",0.0108191653786708
196,50.0918731243,-69.8665235749,"2013/07/19",0.0170015455950541
196,50.0918731243,-69.8665235749,"2013/07/20",0.0216383307573416
196,50.0918731243,-69.8665235749,"2013/07/21",0.0231839258114374
196,50.0918731243,-69.8665235749,"2013/07/22",0.0278207109737249
196,50.0918731243,-69.8665235749,"2013/07/23",0.0293663060278207
196,50.0918731243,-69.8665235749,"2013/07/24",0.0309119010819165
196,50.0918731243,-69.8665235749,"2013/07/25",0.0340030911901082
196,50.0918731243,-69.8665235749,"2013/07/26",0.0370942812982998
196,50.0918731243,-69.8665235749,"2013/07/27",0.0463678516228748
196,50.0918731243,-69.8665235749,"2013/07/28",0.0525502318392581
196,50.0918731243,-69.8665235749,"2013/07/29",0.0510046367851623
196,50.0918731243,-69.8665235749,"2013/07/30",0.0510046367851623
196,50.0918731243,-69.8665235749,"2013/07/31",0.0479134466769706
196,50.0918731243,-69.8665235749,"2013/08/01",0.0479134466769706
196,50.0918731243,-69.8665235749,"2013/08/02",0.0463678516228748
196,50.0918731243,-69.8665235749,"2013/08/03",0.0417310664605873
196,50.0918731243,-69.8665235749,"2013/08/04",0.0417310664605873
196,50.0918731243,-69.8665235749,"2013/08/05",0.0417310664605873
196,50.0918731243,-69.8665235749,"2013/08/06",0.0417310664605873
196,50.0918731243,-69.8665235749,"2013/08/07",0.0370942812982998
196,50.0918731243,-69.8665235749,"2013/08/08",0.0340030911901082
